ID	X (L93)	Y (L93)	nom_commune	insee_comm	m_source	type	statut	caracterise	commentaire	photo	date	amphibien	reptile	odonate	invertebre aquatique	faune_autre	poisson	anatide	faune_aucun	type_de_mare	evolution	abreuvoir_amenage	abreuvoir_non_amenage	collecte_ruissellement	peche	chasse	reserve_incendie	ornemental	biodiversite	patrimoine	pedagogique	abandonne	lagunage	usage_inconnu	pompe_a_nez	dechets	topo	contexte_1	contexte_2	petit_patrimoine_bati	cloture	haie	forme	Longueur	largeur	profondeur	nature_fond	berges	bourrelet	pietinement	regime	liaison_reseau	alim_specifique	turbidite	helophytes	hydrophytes_enracines	hydrophytes_non_enracines	algues	eau_libre	fond_exonde	boisement	ombrage	presence_faune_exotique	presence_flore_exotique	travaux_aucun 	curage	profilage_berge	bucheronnage	debroussaillage	pose_de_cloture	abreuvoir	lutte_contre_EEE	nettoyage_dechets	arrachage	fonctionnement_hydraulique	fauchage tardif	travaux_autre	objectifs_des_travaux
76377_0393	1565438	8256111	ISNEAUVILLE	76377	SCAN25_2011	mare	prive	oui	NC	76377_0393_im1/76377_0393_im2/76377_0393_im3	04_11_2017	non	non	non	non	non	non	non	oui	bassin_routier_ou_de_decantation	4	non	non	oui	non	non	non	non	non	non	non	non	non	non	non	aucun	plateau	annexe_routiere_ferroviere	NC	aucun	non	NC	complexe	41	6	0	naturel	62,5	non	faible_a_nul	mare_temporaire	autre	ruissellement_voierie	NC	100	0	0	0	0	0	12,5	0	NC	NC	oui	non	non	non	non	non	non	non	non	non	non	non	non	NC
76377_0397	1565614,563	8256634,381	ISNEAUVILLE	76377	SCAN25_2011	bassin	public	oui	chantier_sur_la_mare	NC	01_11_2017	NC	NC	NC	NC	NC	NC	NC	NC	NC	NC	NC	NC	NC	NC	NC	NC	NC	NC	NC	NC	NC	NC	NC	NC	NC	NC	NC	NC	aucun	NC	NC	NC	NC	NC	NC	NC	NC	NC	NC	NC	NC	NC	NC	NC	NC	NC	NC	NC	NC	NC	NC	NC	NC	NC	NC	NC	NC	NC	NC	NC	NC	NC	NC	NC	NC	NC	NC
76377_0398	1565844,055	8256819,27	ISNEAUVILLE	76377	SCAN25_2011	mare	public	oui	mare_comblee	76377_0398_im1/76377_0398_im2/76377_0398_im3	01_11_2017	NC	NC	NC	NC	NC	NC	NC	NC	NC	NC	NC	NC	NC	NC	NC	NC	NC	NC	NC	NC	NC	NC	NC	NC	NC	NC	NC	NC	aucun	NC	NC	NC	NC	NC	NC	NC	NC	NC	NC	NC	NC	NC	NC	NC	NC	NC	NC	NC	NC	NC	NC	NC	NC	NC	NC	NC	NC	NC	NC	NC	NC	NC	NC	NC	NC	NC	NC
76377_0401	1566715	8258033	ISNEAUVILLE	76377	SCAN25_2011	mare	prive	oui	il_n_y_avait_personne	NC	28_10_2017	NC	NC	NC	NC	NC	NC	NC	NC	NC	NC	NC	NC	NC	NC	NC	NC	NC	NC	NC	NC	NC	NC	NC	NC	NC	NC	NC	NC	aucun	NC	NC	NC	NC	NC	NC	NC	NC	NC	NC	NC	NC	NC	NC	NC	NC	NC	NC	NC	NC	NC	NC	NC	NC	NC	NC	NC	NC	NC	NC	NC	NC	NC	NC	NC	NC	NC	NC
76377_0402	1566283	8257570	ISNEAUVILLE	76377	SCAN25_2011	bassin	prive	oui	mare_seche	76377_0401_im1/76377_0401_im2/76377_0401_im3/76377_0401_im4	28_10_2017	non	non	non	non	non	non	non	oui	de_village_de_ferme_de_parc_de_jardin	1	NC	NC	NC	NC	NC	NC	NC	NC	NC	NC	NC	NC	NC	non	aucun	autre	jardin_parc_cour_de_ferme	NC	aucun	non	oui	ronde_ovale	7	3	NC	NC	62,5	non	faible_a_nul	NC	NC	NC	NC	NC	NC	NC	NC	NC	NC	NC	NC	NC	NC	NC	NC	NC	NC	NC	NC	NC	NC	NC	NC	NC	NC	NC	NC
76377_0756	1564877	8257704	ISNEAUVILLE	76377	CREA_2008	mare	public	oui	NC	76377_0756_im1/76377_0756_im2/76377_0756_im3	28_10_2017	non	non	non	non	non	non	non	oui	de_prairie	3	non	non	non	non	non	non	non	non	non	non	non	non	oui	non	aucun	plateau	culture	NC	aucun	non	NC	patatoide	15	7	15	naturel	12,5	non	faible_a_nul	mare_permanente	aucun	aucune	trouble	35	25	0	0	20	20	12,5	12,5	non	non	NC	NC	NC	NC	NC	NC	NC	NC	NC	NC	NC	NC	NC	NC
76377_0758	1564613	8259058	ISNEAUVILLE	76377	CREA_2008	mare	public	oui	NC	76377_0758_im1/76377_0758_im2/76377_0758_im3	28_10_2017	non	non	non	non	non	non	non	oui	de_carriere	2	non	non	non	non	non	non	non	non	non	non	non	non	oui	non	aucun	plateau	prairie_humide	NC	aucun	non	non	patatoide	41	11	45	naturel	12,5	non	faible_a_nul	mare_permanente	aucun	aucune	trouble	40	5	53	0	2	0	62,5	62,5	non	non	non	non	non	non	oui	non	non	non	non	non	non	non	non	facilite_d_acces
76377_0760	1566673	8256915	ISNEAUVILLE	76377	CREA_2008	mare	prive	oui	recouverte_de_roseaux	76377_0760_im1/76377_0760_im2/76377_0760_im3	01_11_2017	non	non	non	non	non	non	non	oui	de_village_de_ferme_de_parc_de_jardin	4	non	non	non	non	non	non	oui	non	non	non	non	non	non	non	aucun	plateau	jardin_parc_cour_de_ferme	NC	ponton	non	NC	patatoide	70	50	0	bache	62,5	non	faible_a_nul	mare_permanente	aucun	autre	trouble	100	0	0	0	0	0	0	0	non	non	oui	non	non	non	non	non	non	non	non	non	non	non	non	NC
76377_1036	1566079	8256858	ISNEAUVILLE	76377	BDORTHO_2009	bassin	public	oui	mare_seche	76377_1036_im1/76377_1036_im2/76377_1036_im3	01_11_2017	non	non	non	non	non	non	non	oui	bassin_routier_ou_de_decantation	NC	non	non	non	non	non	non	non	non	non	non	non	non	oui	non	aucun	plateau	jardin_parc_cour_de_ferme	NC	aucun	non	non	triangle	30	15	0	naturel	0	non	faible_a_nul	indeterminee	autre	autre	NC	NC	NC	NC	NC	NC	NC	0	0	NC	NC	oui	non	non	non	non	non	non	non	non	non	non	non	non	NC
76377_1037	1566407	8257208	ISNEAUVILLE	76377	BDORTHO_2009	bassin	prive	oui	la_mare_n_existe_plus_il_s_agit_d_une_jardiniere	76377_1037_im1/76377_1037_im2	28_10_2017	non	non	non	non	non	non	non	oui	de_village_de_ferme_de_parc_de_jardin	4	non	non	non	non	non	non	non	non	non	non	oui	non	non	non	aucun	NC	jardin_parc_cour_de_ferme	NC	aucun	non	non	patatoide	2	1	0	naturel	0	non	faible_a_nul	NC	NC	NC	NC	NC	NC	NC	NC	NC	NC	0	0	NC	NC	NC	NC	NC	NC	NC	NC	NC	NC	NC	NC	NC	NC	NC	NC
