 ID	type	statut	faune_amphibiens	faune_reptiles	faune_odonates	faune_invertebres	faune_autre	faune_poissons	faune_anatides	aucun	type_de_mare	evolution	abreuvoiramenage	abreuvoirnonamenage	collecteruissellement	peche	chasse	reserve_incendie	ornemental	biodiversite	patrimoine	pedagogique	abandonne	lagunage	inconnu	pompe_a_nez	dechets	topo	contexte1	contexte2	petitpatrimoinebati	cloture	haie	forme	L	l	profondeur	nature_fond	berges	bourrelet	pietinement	regime-hydrau	liaison_reseau	alim_specifique	turbidite	helophytes	hydroenra	hydrononenra	algues	eau_libre	fond_exonde	boisement	ombrage	presence_faune_exotique	presence_flore_exotique	travaux_aucun	travaux_curage	travaux_profilage_berge	travaux_bucheronnage	travaux_debroussaillage	travaux_pose_de_cloture	travaux_abreuvoir	travaux_lutte_contre_EEE	travaux_nettoyage_dechets	travaux_arrachage	travaux_fonctionnement_hydraulique	travaux_fauchage_tardif	travaux_autres	Objectifs_travaux
76377_0393	mare	prive	non	non	non	non	non	non	non	oui	bassin_routier_ou_de_decantation	4	non	non	oui	non	non	non	non	non	non	non	non	non	non	non	aucun	plateau	annexe_routiere_ferroviere	NA	aucun	non	NA	complexe	41	6	0	naturel	62.5	non	faible_a_nul	mare_temporaire	autre	ruissellement_voierie	NA	100	0	0	0	0	0	12.5	0	NA	NA	oui	non	non	non	non	non	non	non	non	non	non	non	non	NA
76377_0402	bassin	prive	NA	NA	NA	NA	NA	NA	NA	NA	de_village_de_ferme_de_parc_de_jardin	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	non	aucun	autre	jardin_parc_cour_de_ferme	NA	aucun	non	oui	ronde_ovale	7	3	NA	NA	62.5	non	faible_a_nul	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
76377_0756	mare	public	NA	NA	NA	NA	NA	NA	NA	NA	de_prairie	3	non	non	non	non	non	non	non	non	non	non	non	non	oui	non	aucun	plateau	culture	NA	aucun	non	NA	patatoide	15	7	15	naturel	12.5	non	faible_a_nul	mare_permanente	aucun	aucune	trouble	35	25	0	0	20	20	12.5	12.5	non	non	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
76377_0758	mare	public	non	non	non	non	non	non	non	oui	de_carriere	2	non	non	non	non	non	non	non	non	non	non	non	non	oui	non	aucun	plateau	prairie_humide	NA	aucun	non	non	patatoide	41	11	45	naturel	12.5	non	faible_a_nul	mare_permanente	aucun	aucune	trouble	40	5	53	0	2	0	62.5	62.5	non	non	non	non	non	non	oui	non	non	non	non	non	non	non	non	facilite_d_acces
76377_0760	mare	prive	non	non	non	non	non	non	non	oui	de_village_de_ferme_de_parc_de_jardin	4	non	non	non	non	non	non	oui	non	non	non	non	non	non	non	aucun	plateau	jardin_parc_cour_de_ferme	NA	ponton	non	NA	patatoide	70	50	0	bache	62.5	non	faible_a_nul	mare_permanente	aucun	autre	trouble	100	0	0	0	0	0	0	0	non	non	oui	non	non	non	non	non	non	non	non	non	non	non	non	NA
76377_1036	bassin	public	non	non	non	non	non	non	non	oui	bassin_routier_ou_de_decantation	NA	non	non	non	non	non	non	non	non	non	non	non	non	oui	non	aucun	plateau	jardin_parc_cour_de_ferme	NA	aucun	non	non	triangle	30	15	0	naturel	0	non	faible_a_nul	indeterminee	autre	autre	NA	NA	NA	NA	NA	NA	NA	0	0	NA	NA	oui	non	non	non	non	non	non	non	non	non	non	non	non	NA
76377_1037	bassin	prive	NA	NA	NA	NA	NA	NA	NA	NA	de_village_de_ferme_de_parc_de_jardin	4	non	non	non	non	non	non	non	non	non	non	oui	non	non	non	aucun	NA	jardin_parc_cour_de_ferme	NA	aucun	non	non	patatoide	2	1	0	naturel	0	non	faible_a_nul	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
76377_1049	bassin	public	NA	NA	NA	NA	NA	NA	NA	NA	de_village_de_ferme_de_parc_de_jardin	2	non	non	non	non	non	non	non	non	non	non	non	non	oui	non	aucun	versant	indetermine	NA	aucun	totalement	non	triangle	NA	NA	NA	inconnu	100	non	faible_a_nul	mare_permanente	autre	autre	trouble	45	NA	NA	NA	NA	NA	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
76377_1050	mare	public	non	non	non	non	non	non	non	oui	de_village_de_ferme_de_parc_de_jardin	1	non	non	non	non	non	non	oui	non	non	non	non	non	non	non	dechets_verts_ordures_menageres	plateau	jardin_parc_cour_de_ferme	NA	aucun	non	non	ronde_ovale	15	15	101	naturel	12.5	non	faible_a_nul	mare_permanente	axe_de_ruissellement	autre	trouble	5	0	0	0	0	95	32.5	62.5	non	non	non	non	non	non	non	non	non	non	oui	non	non	non	non	NA
76377_1056	bassin	public	NA	NA	NA	NA	NA	NA	NA	NA	de_village_de_ferme_de_parc_de_jardin	1	non	non	non	non	non	non	non	non	non	non	non	non	oui	non	aucun	plateau	indetermine	NA	aucun	non	NA	patatoide	21	6	0	naturel	62.5	non	faible_a_nul	mare_temporaire	autre	pluvial_bati	NA	NA	NA	NA	NA	NA	NA	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
